mot_moore;sens_num;categorie_grammaticale;prononciation;definition_francais;definition_english;variante;pluriel;domaine;synonymes;antonymes
bas-m-yam;;Nom;;assurance;assurance.;;;;;
basoaka;;Nom;ã̀-á;poisson chien;fish sp;bã-soaka;basogse, bã-sogse;Fish;;
bã-soaka;;Nom;;poisson chien;fish sp;;bã-sogse;Fish;;
bas-taale;;Nom;;confiance;confidence;;;;bas-yardo;
bas-tɩ-b-pɩʋʋg-gʋlgʋndre;;Nom;;cédez le passage;give way to traffic on the major road;;;7;;
bas-yardo;;Nom;à-ó;confiance;confidence;;;;bas-taale;
batayo;;Nom;;bateau;boat, ship;;;Travel;koom koglgo;
bateri;;Nom;;batterie;battery;;;;pilli;
bato;;Nom;;bateau;ship;;;Travel;;
batoaare;;Nom;;abattoir;slaughterhouse, abattoir;;;Building;;
bã-tolem-tolem;;Nom;;maladie épidémique;epidemic disease;;;Disease;;
bato-yasg-zĩiga;;Nom;;port;harbour;;;Travel;;
ba-wubdga;;Nom;á-ú-á;père adoptif;adoptive father.;;;;;
ba-yãanga;;Nom;;chienne;bitch;;;Animal husbandry;;
ba-ye-wiya;;Nom;;espèce de plante herbacée;kind of grass;;;Grass, herb, vine;;
ba-yirga;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
ba-yiri;;Nom;á-ì;village d'origine (côté du père), patrie;village of origin (father's side), homeland, native land, birthplace, father's house;;;Relationships;;
ba-yoara;;Nom;;espèce de plante;kind of plant;ba-yoarga;;Grass, herb, vine;;
bazãabazã;;Nom;à-á-á;grosse araignée;big spider;;bazãaba-rãmb a;Spider;;
bã-zoetem;;Nom;;fleuve;river;;;Water;;
bazorgo;;Nom;á;sorgho à épi très long;long sorghum sp;;bazordo;Food, Grass, herb, vine;;
be;1;Nom;é;là-bas;over there, there;;;;;
be;2;Verbe;è;être (en un lieu), être là, présent;to be (in a place), to be there;;;;;ka
bẽ;1;Verbe;ẽ̀;malade (être), faire une maladie;to be sick, ill (be), unwell;;;;;
bearenga;;Nom;;espèce de plante;kind of plant;bɛrenga;berense;Grass, herb, vine;;
bede;;Verbe;é;blettir, être trop mûr, se décomposer;be over-ripe, decompose, decay, to rot.;;;;;
bẽde;;Verbe;ẽ̀;piéger, mettre à l'épreuve, appâter, s'embusquer;trap, set a trap, put to the test, draw to attract, lie in ambush;;;;;
bẽdga;;Nom;;piège (pour jeter un sort à une personne);trap (to cast a disease on somebody);;bẽdse;Disease;;
bedge;;Verbe;;devenir mou car trop mûr ou trop cuit;get rotten or over-ripe, over-cooked.;;;;;
bẽdge;;Verbe;ẽ̀;inciser profondément;incise deeply, scratch deeply, carve, cut into (single instance).;;;;;
bẽdgo;;Nom;;piège;trap, pitfall;bẽodgo;;Hunt and fish;kũiisri;
bedme;;Verbe;;être gros;to be big.;;;;;
bedre;;Adjectif;é-é;grand, adulte;big, adult, great;;bɛda;;;bilfu2, bila1
bedre n yɩɩda;;expression;;plus grand que;bigger, biggest;;;;;
bedrem;;Nom;é-é;grosseur;thickness.;;;;;
beẽ;;Verbe;;se trouver + locative;be + locative;;;;;
bẽe;;Adverbe;ẽ̀;tout couvert de matière pâteuse;covered with slushy/sloppy material.;;;;;
bee zugu;;expression;;être bon marché (ne pas cher);be cheap (not expensive);;;Money;;
beed soaba;;Nom;;avare;miser.;;;;;
bẽedame;;Verbe;;être malade;be ill, be sick;;;;yĩnsa zabdame;
beega;;Nom;;espèce de plante;kind of plant;bɛnga;;Grass, herb, vine;;
bẽega;;Adjectif;ẽ̀-á;mou comme la boue, peu consistant;soft like mud, thin.;;bẽese;;;
beege;;Verbe;è;offenser, être l'auteur d'un manquement, pécher contre;offend, give offence to somebody, sin against sb;;;;;
bẽege;1;Verbe;ẽ̀;tracer une ligne, rayer;trace a line, cross out, cross off, to mark a line, draw, write;;;;rẽege;
bẽege;2;Verbe;ẽ́-è;contaminer massivement, se répandre;contaminate, spread.;;;;;
beegre;;Nom;è-é;manquement, offense, péché;default, offence, sin, wrongdoing;;;;;
beel n boole;;expression;;épeler;to spell;;;Grammar, Language and thought;;
beele;;Verbe;è;saluer, souhaiter la bienvenue;greet, welcome somebody;;;;;
beelgo;;Nom;é-ó;décomposition;decomposition, breakdown, analysis, classification;;;Mathematics;;
beelle;;Adjectif;é-é;nu;naked.;;bɛɛla;;;
beel-n-boaalga;;Nom;;épellation;spelling;;;Grammar, Language and thought;;
beem;;Nom;é;inimité;enmity.;;;;;
beeme;1;Verbe;è-é;il y en a;there are (of that);;;;;
beeme;2;Verbe;;être là;be there.;;;;;
beenẽ;;démonstratif;é-ẽ́;là-bas;over there.;;;;;
bẽere;;Nom;ẽ̀-é;bouillie;mush, porridge, gruel;;bẽya;Food;;
bẽes-boko;;Nom;;sillon;ridge, furrow;;bẽes-bogdo;;wãg-noore, vũka1;
bẽesdga;;Nom;;rayonner;rake making lines;ra-bẽesdga;;Agriculture;;
beese;;Verbe;é-è;découper en quartiers, dépecer;cut in quarters/parts, to quarter, cut up, butcher;;;;;
bẽese;;Verbe;è-é;rayonner;radiate, extend over.;;;;;
bẽesem-bẽesem;;Adjectif;ẽ̀-ẽ́;rayé;striped;;;;;
bẽgme;;Verbe;ẽ́-è;salir avec de la boue;smear with mud;;;;;
bẽgnega;;Nom;è-é-à;retenue;deduction, withholding, retention;;;Mathematics;;
bẽgnego;;Nom;è-ó;économie (épargne);economy, saving;;;Money;ligd-bẽgendem, kẽgsgo, bĩngri;
begs-begse;;Nom;;une partie de;a part of;;;;pʋdre;
bẽgse;;Verbe;ẽ̀;ranger;put in order, tidy up.;;;;;
beke;1;Verbe;è;décoller;take off, unstick, to peel off.;;;;;
beke;2;Verbe;è;découper une partie, diviser en deux (ex;;;;;;
beke;3;Verbe;è;intercepter avec un projectile;intercept with a projectile;bẽke;;;võke3;
bele;;Verbe;é;branler (car ne plus être solidement fixé);wobble (because not tied any more);;;;;
belem;;Nom;è-é;existence;existence.;;;;;
belem zĩiga;;Nom;;adresse;address;;;;aderse;
belge;1;Verbe;è;flatter, tromper, s'occuper d'un enfant, consoler;flatter, sooth, deceive, take care of a child, to console, to trick;;;;fage;
belge;2;Verbe;é-è;se détacher;break away, to come unstuck, peel off.;;;;;
belgr no-rɛɛsda;;Nom;;faux prophète;false prophet;;belgr no-rɛɛsdba;;zĩrẽ no-rɛɛsda;
belgre;1;Nom;;tromperie, tricherie, action de flatter, blague;cheating, flattering, soothing, joke;;;;zãmbo;
belgre;2;Nom;é-é;élision;elision;;;;;
belko;;Nom;;sorgho blanc;white sorghum;;;Food, Grass, herb, vine;;
belme;;Verbe;è;cajoler, amadouer;cuddle, mollify, court, wheedle, cajole;;;;;
belsda;;Nom;;consolateur;consoler, comforter.;bɛlsa;bɛlsdba, bɛlsba;;;
belse;;Verbe;;flatter, tromper, consoler, s'occuper d'un enfant;sooth, flatter, console, comfort, take care of (child);;;;;
belsem-belsem;;Nom;è-é;faire pour s'amuser;doing for amusement.;;;;;
beme;;Verbe;é;trembler;tremble, shake.;;;;;
bende;;Adjectif;;trouble, boueux;blurred, muddy;;;;;
bendge;;Verbe;;rendre trouble, troubler;disturb;;;;yo yam1;
bend-koeelle;;Nom;;espèce de cache-sexe;kind of loin-cloth, panties, briefs;;bend-koɛɛla, bend-koeelse;Clothing;;
bendre;;Nom;è-è;tambour-calebasse (peau tendu sur calebasse), tam-tam;drum (animal skin on calabash), tom-tom, calabash-drum;;bɛnda;Musical instrument;;
bend-tĩsdim;;Nom;è-í;espèce de pagnes ayant des franges;kind of cloth;bend-tĩdim;bend-tĩsdi;Clothing;;
bẽnege;;Verbe;ẽ̀;rendre malade, contaminer, infecter;cause illness, contaminate, to make somebody ill, infect, pass on a disease.;;;;;
beng-ãodgo;;Nom;é;couleuvre (espèce);tree snake sp;;beng-ãto;Reptile;;
bengdo;;Nom;é-ó;feuilles de haricot;bean leaves;;;Food;;
beng-guugu;;Nom;é-ù-ú;fleur de haricot;bean plant flower.;;beng-guusi;;;
beng-puudu;;Nom;;champ de haricot fleuri;flowering bean field;;;;;
beng-pʋʋgo;;Nom;;champ de haricot;bean field;;;Agriculture;beng-sũnga;
bengre;;Nom;é-é;haricot (grain de);grain of bean;;bɛnga, bense;Food;;
beng-sũnga;;Nom;é;champ de haricot;bean field;;beng-sũmsi;Agriculture;beng-pʋʋgo;
beng-wurga;;Nom;;tige sèche de haricot;dry bean stalk;;beng-wursi;Parts of a plant;;
bẽodgo;;Nom;ẽ́;piège, gris-gris;trap, pitfall, talisman for protection, charm, juju.;bẽdgo;bẽto;;;
beoko;1;Nom;é-ò;antilope rédunca;Bohor reed-buck;;begdo;Mammal;;
beoko;2;Nom;;idiot, bête;an idiot, stupid person;;begdo, bɛgdo;;yalma, zalle2;
beolengo;;Nom;èo-ó;fiançailles;engagement, betrothal.;pʋg-beolengo;;;;
beombeongo;;Nom;;petit tambour d'enfant;small drum for children;bembengo;bembendo;Musical instrument;rabɩʋngo;
beoob bila;;Nom;éo í-á;signe de ponctuation;punctuation mark;;;;bɛoodga;
beoog-beoog fãa;;expression;;journalier;daily;;;;daar pʋgẽ (bũmbu);
beooge;;Verbe;è;anticiper, couper la parole ou la route;anticipate, cut /interrupt the word or the road.;;;;;
beoogo;1;Adverbe;é;demain, l'avenir;tomorrow, the future, the morrow;;;;;
beoogo;2;Adjectif;é;mauvais, méchant;bad, wicked, evil, malicious, nasty;;beedo;;bɛɛga;
beoole;1;Verbe;è;prévoir, anticiper;foresee, anticipate.;;;;;
beoole;2;Verbe;è;cultiver dans son champ individuel;farm in one's individual field;;;;;
berge;1;Verbe;é-è;éparpiller des fragments;scatter fragments.;;;;;
berge;2;Verbe;é-è;devenir trop mou parce que trop cuit;become too soft because overcooked.;;;;;
berzĩndi;;Nom;;aubergine;aubergine;;;Food;;
bes-bese;;Adverbe;;en parlant n'importe comment;speaking no matter how;;;;yes-yese;
bese;;Nom;é-è;boisson forte;strong drink.;;;;;
besende;;Nom;;espèce de plante;kind of plant;besande;;Grass, herb, vine;;
besge;;Verbe;é-è;tomber (ex;;;;;;
bẽta;;Adjectif;ẽ́;souffrant, patient;suffering, sufferer from, patient;;bẽtba;Sick;;
betõ tãnd ne kud-ribli;;expression;;béton armé;reinforced concrete, armed concrete;;;Building;;
betõ tãndo;;expression;è-ó à-ó;béton;concrete;;;Building;;
be-zʋʋre;;Nom;;celui qui a une queue;the one with a tail;;;;;
bɛ;1;Verbe;ɛ̀;colmater, fermer un trou;plug leaks, stop up a hole;;;;;
bɛ;2;Nom;ɛ́;ennemi;enemy, foe;;bɛɛba;;bɛɛma;
bɛ;3;Nom;;espèce de plante oléagineuse;kind of plant, oilseed crop;;;Grass, herb, vine;;
bɛda;;Adjectif;ɛ́-à;grand, adulte, gros;big, adult, fat;beada;;;;
bɛdenga;;Nom;ɛ́-á;ver de terre;earthworm;;bedense;Small animals;;
bɛɛ;;interrogatif;ɛ́;où est-ce ?;where is? F biigã bɛɛ? Où est ton enfant ? where is your child? bɛɛba [ɛ́] singulier: bɛ, bɛɛma;;;;;
bɛɛga;;Adjectif;ɛ́;mauvais;bad;;beese;;beoogo2;
bɛɛgda;;Adjectif;;offensif;offensive.;;;;;
bɛɛge;;Verbe;;décoller ce qui est plaqué contre;take off something.;;;;;
bɛɛla;1;Nom;ɛ́-à;instrument de musique monocorde;one-stringed fiddle;;beelse;Musical instrument;;
bɛɛla;2;Nom;ɛ̀-á;salutations de bienvenu;welcome greetings;;;;yɛɛla;
bɛɛma;;Nom;ɛ́;ennemi;enemy;;bɛɛmdba;;bɛ2;
bɛɛre;;Nom;ɛ́-è;bière importée;imported beer.;;bɛɛr-dãmba;;;
bɛɛrga;;Adjectif;ɛ́-á;la plus petite quantité / unité de;the smallest quantity or unit of;;beerse;;;
bɛgd neoodre;;Nom;;botte;boot;;;Clothing;;
bɛgdo;;Nom;ɛ́-ò;boue;mud;begdo;;Weather;;
bɛka;;Nom;ɛ́;morceau ou partie de chose divisé en deux;part or fragment of something divided in two pieces.;;begse;;;
bɛnda;;Nom;ɛ̀-á;caleçon, cache-sexe masculin;underpants, man's loincloth, T-string, underwear (traditional);;bendse;Clothing;;
bɛndga;;Nom;;cithare-radeau;zither;;bɛndse;Musical instrument;;
bɛoodga;;Nom;ɛ̀;signe de ponctuation;punctuation mark;;;;beoob bila;
bɛooga;;Nom;ɛ́;souche;stump, tree-stump;;beoose;Parts of a plant;;
bɛoolga;;Nom;ɛ̀-à;champ individuel;individual's field / farmland, personal farm;;beoolse;Agriculture;;
bɛoongo;;Nom;ɛ́;maison en terrasse;flat-roofed room, house with flat roof;;bɛɛndo;Building;kʋl-beongo, põ1;
bɛrenga;;Nom;ɛ̀-á;espèce de chanvre;kind of hemp-plant;bearenga;berense;Grass, herb, vine;;
bi;2;Nom;í;rougeole;measles;bĩ;;Disease;bikalga2;
bi;3;conjonction;;ou, ou bien;or, or else, either .;;;;;
bĩ;;Nom;;rougeole;measles;bi;;Disease;;
bi-beelem;;Nom;;hardiesse, intrépidité, espièglerie;roguery, wild / bad behaviour.;;;;;
bi-bees roogo;;Nom;;prison;prison;;;Building;bãens-roogo;
bi-bɛɛga;;Nom;ì-ɛ́-á;enfant indiscipliné, intrépide, bandit, canaille;indisciplined child, fearless person, bandit, crook, rogue, villain, ruffian.;;;;;
bi-bɛlgda;;Nom;ì-ɛ̀-á;nourrice (qui s'occupe d'un enfant);nurse, nursemaid (taking care of a child);;;Worker;;
bibi;;Verbe;í;entasser;stack up, heap.;;;;;
bi-bɩɩga;;Nom;ɩ̀-á;jeune homme, jeune personne, adolescent;young man, young person, adolescent, teenager;;bi-bɩɩse, kom-bɩɩse;Person;polle;
bi-bɩɩlem;;Nom;;jeunesse;youth;;;;kom-bɩɩse;
bida;;Adverbe;ì;noir (idée de);black (idea of);;;Colour;;
bidga;;Nom;í-à;bègue;stutterer, stammerer;;bidsi;Disease;zɩlem-karga;
bidgi;;Verbe;ì;déboîter (os);dislocate (bone);;;;;
bidimdi;;Adjectif;í;penché;tilting.;;bidimsi, bidma;;;
bidu;;Nom;ì-ú;bidon;can, a 5-gal./25 litre can;;bidu-rãmba;Container;;
bii;;interrogatif;;ou, ou bien?;;;;;;
biiga;1;Nom;í;enfant, fils, un jeune;child, son;;kamba, koamba, biisi;Relationships, Person;;
biiga;2;Nom;í;grain;grain;;biisi;;;
bĩinfu;;Adjectif;ĩ́;fin, effilé;thin;;bĩinisi;;;
bĩinifu;;Nom;ĩ̀-ú;trait, scarification légère;stroke, slight scarification.;;bĩini;;;
bĩin-lugsi;;Nom;;longitude;longitude;;;Land;;
bĩin-lu-tikdga;;Nom;;méridien zéro;zero meridian;;;Land;;
bĩin-paadse;;Nom;;latitude;latitude;;;Land;rul-paadsẽ;
bĩin-wʋbdo;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
bĩis tãnga;;Nom;ì-á;dune, colline de sable formée par le vent;sand dune;;bĩis tãmse;Land;;
bĩis-gɛla;;Nom;;fromage;cheese;;;Food;;
bĩis-gõeem;;Nom;ĩ̀-ṍ-é;lait caillé, yaourt;clotted milk, yoghurt;;;Food;;
biisi;;Nom;í-ì;bus;bus.;;biis-rãmba;;;
bĩisim;;Nom;ì-í;lait;milk;;;Food;;
bĩisim kũuni;;Nom;;allaitement;breast-feeding.;;;;;
bĩisim yẽnde;;Nom;ì é-è;dent de lait;baby tooth;;bĩisim yẽna;;lɩdre;
bĩis-kaam;;Nom;;crème;cream;bĩs-kaam;;Food;;
bĩis-koaasa;;Nom;;laitière;lady selling milk;;;Worker;;
bĩis-moogo;;Nom;ì-ó;maladie de sein;breast disease;bĩs-moogo;bĩis-moodo;Disease;;
bĩis-naare;;Nom;ĩ̀-é;lait frais;fresh milk;bĩs-naare;;Food;;
bĩis-noore;;Nom;ĩ̀-ó-é;mamelon, tétine;nipple, teat;bĩs-noore;bĩis-noya;Body;;
bĩisr zĩiga;;expression;;désert;desert;;;Land;zĩ-koɛɛnga, tẽn-kʋɩre, zĩ-kʋɩre, we-rasempʋɩɩga;
bĩisri;1;Nom;ĩ̀-í;sein, mamelle;breast, teat, udder;bĩsri;bĩisa;Body;;
bĩisri;2;Nom;ĩ̀-í;sable;sand;;bĩisa;Land;;
bĩisr-yiisgu;;Nom;;sevrage;weaning.;;;;;
bĩis-sũm;;Nom;ĩ̀-ṹ;lait maternel;mother milk.;;;;;
bĩis-zom;;Nom;;lait en poudre;milk powder;bĩs-zom;;Food;;
bika;;Nom;í;bic, stylo;pen, ballpoint, ballpoint pen;;;Tool;gʋls-moogo;
bikalga;1;Nom;ì-á-à;condiment à base de grains d'oseille;seasoning based on sorrel grains.;;bikalse;;;
bikalga;2;Nom;ì-á-à;rougeole;measles;;;Disease;bi2;
bi-kãsenga;;Nom;;adulte;adult, grown-up;;;Person;;
bila;1;Adjectif;í;petit de taille;small in size or age, little;;bi;;;bedre
bila;2;Nom;í;pion, pièce de jeu, unité, graine, fruit;pawn, piece of game, unit, grain, fruit;;biisi;;tikr bila;
bila;3;Nom;í;partie d'un tout;part of a whole;;bi;;;
bila;4;Nom;í;pépin;grain.;;biisi;;;
bilf sã n paase;;expression;;bientôt;soon, shortly;;;;;
bilf-bilfu;;Adverbe;;doucement, lentement, progressive, petit à petit;gently, smoothly, slowly, progressive;;;;kɩdg-kɩdga;
bilfri;;Adverbe;;un tout petit peu;a little bit;;;;yẽnɩ;
bilfu;1;Adverbe;í;peu;bit (a);;;;;
bilfu;2;interj;;à tout à l'heure;goodbye, see you soon;;;;wẽnd na kõ-d bilfu;
bilfu;2;Adjectif;í;petit, minuscule;small (in size or quantity), little, tiny;;bãoonego;;;bedre
bilg tɩ b wʋm a võore;;expression;;explication;explication;;;Language and thought;;
bilga;;Nom;í-à;bracelet en paille tressée;straw bracelet;;bilsi;Adornment;;
bilgdga;;Nom;ì-à;idéophone;ideophone;;;;;
bilgi;1;Verbe;ì;décrire;describe;;;;;
bilgi;2;Verbe;ì;tourner (faire);turn over, go round (cause to), to roll, revolve;;;;bilmi;
bili;;Verbe;í-ì;rouler en pressant;to roll sth;;;;;
bilimdgi;;Verbe;;rouler qqc;to roll sth.;;;;;
bilimdi;;Verbe;;rouler qqc;to roll sth.;;;;;
bilimsi;;Verbe;;rouler qqc;to roll sth.;;;;;
bilmi;;Verbe;ì;rouler, faire avancer en roulant par terre;to roll sth;;;;bilgi2, yilgi;
bil-tik ligdi;;Nom;ì-í ì-í;prix unitaire;unit price, price per unit;;;Money;a ye ligdi;
bil-tikdga;;Nom;;unité;unit;;;Mathematics;tikr bila;
bil-zaalga;;Nom;;unité simple;single unit;;;Mathematics;;
bĩma;;Adverbe;ĩ̀;sombre, touffu, couvert;sombre, dark, leafy, covered.;;;;;
bĩmi;;Verbe;ĩ́;devenir ombrageux, couvert;become leafy, shady, covered;;;;;
bindga;;Nom;;espèce de plante à tubercule;kind of tuber plant;;bindsi;Grass, herb, vine;;
bindingãasgo;;Nom;ĩ̀-ã́-ò;bousier;dung beetle;;;Insect;bĩntagagsgo;
bĩndingãoosgo;;Nom;;scarabée sacré, bousier;scarab, dung beetle;;;Insect;gutungulungu;
bĩndinpuure;;Nom;;poisson (espèce);fish sp;bẽdempuure;;Fish;;
bĩndu;;Nom;ĩ́;excréments (vu comme masse), selles;excrement.;;bĩna;;;
bĩng yamẽ;;Verbe;;retenir;hold, keep in mind.;;;;;
bĩngdga;;Nom;ì-à;classeur;binder, filing cabinet.;;;;;
bĩngdim;;Nom;í-í;stock;stock;bõn-bĩngdim;;;bõn-bĩngdim;
bĩngdim seb-vãoogo;;Nom;;fiche de stock;stock card;;;Money;;
bĩngi;1;Verbe;ĩ̀;mettre ne lieu sûr, garder de côté, conserver, garder de côté, épargner, déposer;put in a save place, put aside to keep it, to save, to put down, store, to keep.;;bĩnsi;;;
bĩngi;2;Verbe;;sauvegarder;save;;;computer / digital;;
bĩngri;;Nom;;épargne;savings;;;Money;ligd-kẽgsdem, bẽgnego;
bĩntagagsgo;;Nom;;bousier;dung beetle;;;;bindingãasgo;
bi-paga;;Nom;ì-á;belle-fille;daughter-in-law;;bi-pagba;Relationships;;
bi-pagemdo;;Nom;;relation de parenté par alliance entre une femme et sa belle-fille;the relation between mother-in-law and daughter-in-law;;;Relationships;;
bi-peelem;;Nom;ì-é-é;premier enfant (étant bébé);first child (still being a baby).;;;;;
bi-pɛɛlga;;Nom;ì-ɛ́-á;bébé (lit;;pɛɛlga;kom-peelse;;pɛɛlga2;
bi-pugla;;Nom;ì-ú-á;jeune fille, fille;young woman, girl;;kom-pugli;Person;;bi-ribla
birga;;Nom;í-à;fumier, engrais qui contient de la matière organique , fumure organique;manure, fertilizer, organic manure;;;Agriculture;põosgo1;
bi-ribla;;Nom;ì-í-á;garçon, fils;boy, son;;kom-dibli;Person;;bi-pugla
bi-rib-roagdga;;Nom;;fils;son;;;Person;;
birimdi;;Verbe;ì;agir promptement;act quickly.;;;;;
birip;;Adverbe;ì;tout d'un coup;suddenly.;;;;;
birkɛ;1;Nom;;barrique;barrel;;;Container;barika;
birkɛ;2;Nom;;briquet;lighter;;;;bug-bãnga;
bir-põnegdem;;Nom;ì-ó-é;compost, engrais organiques, fumier, matière organique provenant de la litière (feuilles mortes des arbres) et des déchets d'animaux décomposés;compost, organic fertilizer, manure;;;Agriculture;;
biru;;Nom;;bureau;office, desk.;;;;;
bisa;;Nom;í-à;sous produit dans la préparation de a bière de mil;residue in millet beer production.;;;;;
biskãse;;Nom;í-á-é;drêche;distiller's wash, brewer grains, residue of beer brewing;;;;;
bitga;;Nom;;boutique;shop, store, boutique;;;Building;;
bĩungu;;Nom;;excrément;excrement, dung, shit, faeces, a single turd.;;bĩndu, bĩna;;;
bi-wẽnga;;Nom;ì-ẽ́;gamin, garçon de mauvais comportement;pickle, boy with bad behaviour.;;kom-wẽnse;;;
bi-yende;;Nom;;enfant unique, seul enfant;only child;;;;;
bɩ;1;Verbe;ɩ̀;mûrir, être cuit / mûr;"grandir; ripen, be cooked / ripe, grow, to be mature";;;;;
bɩ;2;auxiliaire;ɩ́;donc, alors, s'il est ainsi;consequently, then, so, thus;;;;;
bɩ;3;conjonction;ɩ́;ou bien (alternatif, indique une possibilité d'un choix));or, or else (alternative, indicating the possibility of a choice);bɩɩ;;Grammar;;
bɩbla;;Nom;ì-á;petit grenier en terre (à l'intérieur);small clay granary (inside storehouse);;bɩblɩ;Container, Building;;
bɩdbe;;Verbe;ɩ̀;bégayer;stutter, stammer;;;;baame1;
bɩdgo;1;Nom;ɩ́;grain d'oseille, roselle;seed of sorrel, Rosella,;bɩʋdgo;bɩto;;;
bɩdgo;2;Nom;;oseille;sorrel;bɩto;;Grass, herb, vine;;
bɩgemde;;Adjectif;ɩ́;mûr;ripe;;bɩgma;;"mogemde, bɩɩnga, lʋko; antonyme: kãsre";kãsre
bɩɩ;;conjonction;;ou, ou bien;or, or else;bɩ;;;;
bɩɩnga;;Adjectif;;mûr, à point, à terme;ripe, cooked, done;;bɩɩmse;;bɩgemde;"kãsre, kãoogo4; synonyme: bɩgemde"
bɩɩse;;Verbe;ɩ̀;mûrir (faire);ripen (make / cause to);;bɩɩma;;;
bɩlemde;;Adjectif;;nu;naked, bare.;;;;;
bɩlle;;Nom;ɩ́;levure;yeast.;rã-bɩlle;bɩla;;;
bɩmbɩlga;;Nom;;termitières;termite mound;;;;yaoore tãmbeko;
bɩmbɩʋlgo;;Nom;;espèce de termite;kind of termite;bɩʋmbɩʋngo;;Insect;yaoore;
