mot_moore;sens_num;categorie_grammaticale;prononciation;definition_francais;definition_english;variante;pluriel;domaine;synonymes;antonymes
bãnga;1;Nom;ã́;fer (barre ou fil), chaîne, barre de fer;iron (rod or wire), chain, shackle.;;bãense;;;
bãnga;2;Nom;ã̀-á;margouillat;lizard, Agama lizard;;bãnse;Reptile;;
bãngda;;Nom;ã́;savant, connaisseur;scholar, researcher;;bãngdba;Teach, Worker;;
bãnge;;Verbe;ã̀;savoir, connaître;know, come to know, understand, realize;;;;;
bãngenlɛgsre;;Nom;;gecko;gecko;;;Reptile;;
bãng-kãag ned sẽn tar bũmb zugu;;expression;;science;science;;;Mathematics, Teach;;
bãng-kãag soaba;;Nom;;expert, personne qui maîtrise (spécialiste) un domaine de connaissance;expert;;;Worker, Language and thought;;
bãngr goama;;Nom;;prophétie;prophecy;;;;;
bãngre;;Nom;ã́;savoir, connaissance;knowledge, understanding, skill;;;Teach;;
bãng-yalengo;;Nom;;culture générale;general education, good educational background.;bãng-yagre;;;;
baninga;;Nom;á;sorgho blanc;white sorghum, white guinea-corn;baningri;baninsi, baniynsi;Food, Agriculture;;
bãnk ligd gɛɛl sebre;;Nom;;journal de banque;bank's journal;;;Money;;
bãnk ligd zãab sebre;;Nom;;cahier de banque;bank pass book, passbook;;;Money;;
bãnk yaoodo;;Nom;;agios;bank charges;;;Money;;
bãnkãna;;Nom;ã̀-ã́;taro;taro root;;;Food;mankãna;
bãnke;;Nom;á-è;banque;bank;bãnka;;Money, Building;;
bãnkoanga;;Nom;ã̀-á;circoncis;circumcised person.;;bãnkoense;;;
bãn-loeere;;Nom;ã̀-ó-é;amélioration;improvement.;;bãn-loeese;;;
bãn-zẽnga;;Nom;à-é-à;signe particulier;special sign, particular sign.;;;;;
bao;;Verbe;à;chercher;look for, seek, search, quest;;;;;
bao noore;;Verbe;;provoquer;provoke.;;;;;
bao zĩiga;;expression;;quitte la-bas!;go away from there! synonyme: yi be;;;Building;yi be;
baobgo;;Nom;á-ò;côté, région, vers une certaine direction, zone, partie;side, region, towards a certain direction, section;babgo;;Region;weoogo3, kɛɛnga1, zĩig takɩ, zĩiga, sẽnẽ;
bãoko;;Nom;ã́;épaule;shoulder;bãko;bãgdo;Body;;
bão-koodo;;Nom;;culture maraîchère;market gardening, truck farming;;;Agriculture;;
bãong kẽesgo;;Nom;;circoncision;circumcision;;;;;
bãongo;1;Nom;à-ó;circoncision;circumcision;;bãndo;;;
